Dimension,Feature Vector Length,Generatng Inputs Time,Heston Pricing Time,Saving Time,Total Time Taken
1,9,0.14413166046142578,660.5373120307922,7.7380454540252686,668.4194891452789
4,15,0.14913392066955566,1237.171487569809,11.679625988006592,1249.000247478485
7,21,0.14513182640075684,1825.3858006000519,15.92549467086792,1841.4564270973206
10,27,0.15413999557495117,2376.0527951717377,19.97818160057068,2396.1851167678833
13,33,0.1531379222869873,2982.9666152000427,23.93033528327942,3007.050088405609
16,39,0.1561417579650879,3540.65034866333,27.65320348739624,3568.4596939086914
