dimension,number_layers,number_units,learning_rate,rate_decay,l1_regularizer,l2_regularizer,activation_func
market,3,14,0.0031622776601683794,1.0,3.981071705534969e-09,3.981071705534969e-08,elu
dim1,4,5,0.0020532768013140695,0.9260942201031189,1.8220209272284306e-07,2.223087029305306e-06,elu
dim4,5,11,0.003343011965403283,1.0,1.2689610031679234e-08,1e-07,elu
dim7,3,8,0.008410349931109732,0.9373650283899712,1.138171227667121e-07,8.854986578381169e-08,elu
dim10,4,8,0.005451471686114507,0.90923157270006,1.4486689707216352e-07,1.810821338043891e-07,elu
dim13,5,19,0.003829733191759989,0.821837036444325,4.434242545353473e-08,2.5599029496976226e-08,elu
dim16,6,19,0.00476654387664145,0.8998223163663568,4.2846295035144304e-07,9.279111614760352e-07,elu
